Model,UnitTest,Accuracy/Correctness,Benchmark
"moonshotai/Kimi-K2-Thinking",unverified,unverified,unverified
"Qwen/Qwen3-Coder-480B-A35B-Instruct",unverified,unverified,unverified
"meta-llama/Llama-3.3-70B-Instruct",✅,✅,✅
"Qwen/Qwen3-4B",✅,✅,✅
"google/gemma-3-27b-it",✅,✅,✅
"Qwen/Qwen3-32B",✅,✅,✅
"deepseek-ai/DeepSeek-V3.1",unverified,unverified,unverified
"meta-llama/Llama-Guard-4-12B",✅,✅,✅
"openai/gpt-oss-120b",unverified,unverified,unverified
"meta-llama/Llama-3.1-8B-Instruct",✅,✅,✅
"Qwen/Qwen3-30B-A3B",✅,✅,✅
